,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Award,MeanPrice,USDPrice,Country
3041,L'Allée des Vignes,"32 boulevard du Tour-de-Ville, Cajarc, 46160, France",Cajarc,59,107,EUR,Creative,1 MICHELIN Star,83.0,92.1383, France
3042,ERH,"11 rue Tiquetonne, Paris, 75002, France",Paris,80,140,EUR,Modern,1 MICHELIN Star,110.0,122.111, France
3043,La Vieille Tour,"7 rue Nationale, Cellettes, 41120, France",Cellettes,49,79,EUR,Modern,1 MICHELIN Star,64.0,71.0464, France
3044,Nature,"20 place de Saint-Vaast, Armentières, 59280, France",Armentières,28,72,EUR,Modern,1 MICHELIN Star,50.0,55.505, France
3045,Lalique,"Lieu-dit Peyraguey, Bommes, 33210, France",Bommes,95,165,EUR,Modern,1 MICHELIN Star,130.0,144.313, France
3046,Le Restaurant des Rois - La Réserve de Beaulieu,"5 boulevard du Maréchal-Leclerc, Beaulieu-sur-Mer, 06310, France",Beaulieu-sur-Mer,220,280,EUR,Modern,1 MICHELIN Star,250.0,277.525, France
3047,Le Carmin,"4B place Carnot, Beaune, 21200, France",Beaune,38,128,EUR,Modern,1 MICHELIN Star,83.0,92.1383, France
3048,Moulin de Rosmadec,"Venelle de Rosmadec, Pont-Aven, 29930, France",Pont-Aven,47,117,EUR,Modern,1 MICHELIN Star,82.0,91.0282, France
3049,L'Évidence,"1 place des Marronniers, Montbazon, 37250, France",Montbazon,39,120,EUR,Creative,1 MICHELIN Star,79.5,88.25295, France
3050,Ô Flaveurs,"Château de Chilly, Douvaine, 74140, France",Douvaine,53,145,EUR,Modern,1 MICHELIN Star,99.0,109.8999, France
3051,Le Pressoir,"7 rue de l'Hôpital, Saint-Avé, 56890, France",Saint-Avé,36,110,EUR,Creative,1 MICHELIN Star,73.0,81.0373, France
3052,Radio,"43 avenue Pierre-et-Marie-Curie, Chamalières, 63400, France",Chamalières,35,110,EUR,Modern,1 MICHELIN Star,72.5,80.48225, France
3053,Claude Darroze,"95 cours du Général-Leclerc, Langon, 33210, France",Langon,39,129,EUR,Classic,1 MICHELIN Star,84.0,93.2484, France
3054,La Chapelle Saint-Martin,"Saint-Martin-du-Fault, 87510, France",Saint-Martin-du-Fault,75,234,EUR,Modern,1 MICHELIN Star,154.5,171.51045, France
3055,Les Foudres,"Chais Monnet, 50 avenue Paul-Firino-Martell, Cognac, 16100, France",Cognac,130,135,EUR,Modern,1 MICHELIN Star,132.5,147.08825, France
3056,ES,"91 rue de Grenelle, Paris, 75007, France",Paris,95,180,EUR,Modern,1 MICHELIN Star,137.5,152.63875, France
3057,Le 7ème Continent,"35 avenue du Général-de-Gaulle, Rixheim, 68170, France",Rixheim,38,115,EUR,Modern,1 MICHELIN Star,76.5,84.92265, France
